name;country;elevatorPitch;industry;;page
95co;Brazil;We are an EdTech company that transforms entertainment into socio-educational development.;Education;;1
Affiliates;Brazil;We help brands scale sales through creators with an end-to-end affiliate platform.;E-commerce & retail;;1
Agro Open AI;Brazil;Plataforma de Gestão de Crédito e Risco para o Agronegócio orquestrada por Agentes de IA.;Fintech & financial services;;1
Airis;Brazil;AI-powered smart carts that eliminate checkout lines, enhance the shopping experience, and boost supermarket efficiency.;E-commerce & retail;;1
Akintec;Brazil;Infraestrutura de crédito e proteção de preços de commodities agrícolas brasileiras.;Fintech & financial services;;1
;Brazil;Para os 13M+ empreendedores brasileiros que querem parar de empreender no escuro. ;;;
1;Brazil;20de8428-9a38-49bd-963c-e5cad66665e3;;;
Alinha Recebíveis;Brazil;Alinha connects retailers to investors so they can unlock card receivables fast, with simpler funding and fairer pricing.;Fintech & financial services;;2
AMentoria Educação;Brazil;Brazil's #1 in personalized education mentorship. Solving education's hardest problem: scaling 1:1. AI-powered, human-led. 50,000+ sessions.;Education;;2
Amoridico Lab;Brazil;Amorídico is a legal business edtech connecting law, innovation and entrepreneurship to build sustainable legal careers.;Education;;2
Aprovação Ágil;Brazil;With a 10M exam takers/year market, we deliver faster success through exclusive methods. 90k user and ready to scale even more!;Education;;2
ArcadiA Education;Brazil;ArcadiA Education é uma startup educacional dedicada à criação de um ecossistema de Inteligência Artificial aplicada à Educação;Education;;2
Aristotle by Studio Mater;Brazil;Human-centered edtech using AI to enhance learning, education, and change management through collaborative knowledge and human intelligence.;Education;;2
Artemis Technologies;Brazil;We turn legal claims into collateralized credit at scale with AI. Unlocking fast liquidity from complex, document-heavy receivables.;Fintech & financial services;;2
ATLAS;Brazil;Enpower AI to drive strategic financial matters. Insights, predictive analytics, cashflow management and FP&&A in a single platform.;Fintech & financial services;;2
AUATI;Brazil;Auati é uma startup de impacto social para troca de serviços -  de forma simples, segura e colaborativa.;E-commerce & retail;;2
Autoflow;Brazil;Agentes de IA para departamentos financeiros;Fintech & financial services;;3
Automated Finance;Brazil;infraestrutura Web3 para instituições — custódia, liquidação, pagamentos e compliance programável, segurança e escala.;Fintech & financial services;;3
Avisa App;Brazil;Avisa App automates billing notifications, collections, and mass messaging campaigns via WhatsApp, using the official Meta API. PlugAndPlay;Fintech & financial services;;3
Axtral Quant;Colombia;Advanced quantitative analytics for B2B platforms. Our API delivers high-frequency predictive modeling and risk management.;Fintech & financial services;;3
AZEV Inovação;Brazil;Simplifying payments and collections;Fintech & financial services;;3
Baasic;Brazil;Embedded finance infrastructure that powers companies to launch banking, payments and credit as native products - white-label, API-first.;Fintech & financial services;;3
BackChannel;Brazil;First AI-native B2B marketplace for excess inventory. We connect brands with off-price buyers, using AI to automate and scale circular trade;E-commerce & retail;;3
BankSim (by Test Bank);Brazil;Transforming financial recruitment with predictive AI & neuroscience. Scaling the future of banking employability. Santander X recognized.;Fintech & financial services;;3
Bāxī Pay;Brazil;Facilitamos transferências internacionais do Brasil para o exterior — e vice-versa — de forma clara, segura e regularizada.;Fintech & financial services;;3
BD ANALYTICS;Brazil;We digitize retail through tools and consultative management with official advisors from marketplaces as MercadoLibre, Amazon,Shopee, TikTok;E-commerce & retail;;3
BIGBOT - EAD TECH;Brazil;AI-powered multilingual platform for e-learning and corporate training with private AI chatbot, marketing tools, and digital certification.;Education;;4
Biif;Costa Rica;PetTech platform using health data and personalized nutrition to help pets live longer, healthier lives through subscriptions.;E-commerce & retail;;4
Bills Treasury App;United States;Bills Treasury is an AI-powered financial command center that centralizes bill tracking, payments, and cash flow for smarter control.;Fintech & financial services;;4
Bitlearns;Brazil;An AI-powered infrastructure for publishers to create, distribute and amplify their content digitally.;Education;;4
BKOPEN MARKETPLACE S.A.;Brazil;A BKOPEN é um marketplace de crédito que intermedia produtos oferecidos ao público por bancos, fintechs, seguradoras e consórcios.;Fintech & financial services;;4
Boas Compras;Brazil;Sua Lista Inteligente de Supermercado;E-commerce & retail;;4
boxful;El Salvador;The ecommerce infrastructure for emerging markets. We power thousands of merchants with shipping, fulfillment, and growth capital.;E-commerce & retail;;4
Brazil Pays;United States;Cross-border payment fintech connecting foreign companies to serve Brazilian consumers via PIX and installment credit cards up to 18x.;Fintech & financial services;;5
Brokerware;Uruguay;Brokerware is an AI-powered platform that unifies trading, operations, compliance, and reporting for broker-dealers and fund managers.;Fintech & financial services;;5
Bull;Brazil;Bull: Crédito pronto para operar. Transforme sua base em receita com Crédito Consignado CLT white-label em semanas.;Fintech & financial services;;5
Buyhelp;Brazil;BuyHelp's purpose is to increase consumers' purchasing power. We are the world's first C2B technology.;E-commerce & retail;;5
CACTUS DIGITAL SA;Greece;Full-stack digital agency & creators of TikTokfy - the tool that turns any e-shop into a TikTok-style shopping experience.;E-commerce & retail;;5
CashGo;Brazil;The embedded fintech building the financial hub for Brazilian real estate agencies.;Fintech & financial services;;5
Chainless;Brazil;The global wealth platform where your money is truly yours.;Fintech & financial services;;5
Chat Skills;Brazil;Ganhe agilidade: gere treinamentos com IA e distribua pelo WhatsApp. Atualize os times e receba resultados no mesmo dia.;Education;;6
;Brazil;Score de Crédito comportamental para oferta de nano-crédito via app. Nano-crédito;;;
CoclePay;Brazil;Zero financial borders for B2B. CoclePay powers seamless cross-border and local payments with the sheer efficiency of Bitcoin & Stablecoins.;Fintech & financial services;;6
Codifica;Brazil;Edtech that develops educational programs in technology, digital literacy, and computational thinking, from K 12 to beyond school;Education;;6
Cofrinho;Brazil;Duolingo das finanças para jovens;Education;;6
Conecta Cientista Platform;Brazil;The next billion-dollar discovery is stuck in a lab. We connect scientists with investors and companies that need it.;Education;;6
CONVEM - Fintech Experts;Brazil;We have built multiple fintechs from scratch, bootstrapped to results beyond imagination, including a successful exit in 12 months.;Fintech & financial services;;7
CredAluga;Brazil;CredAluga is a Brazilian proptech transforming Brazil’s rental market through innovative financial technology and digital guarantees.;Fintech & financial services;;7
CredSeller;Brazil;Somos um Credit as a Service, que transforma recebíveis em crédito inteligente destravando o crescimento do varejo e das empresas digitais.;Fintech & financial services;;7
Cris e Bento;Brazil;É um jogo cooperativo de plataforma que une entretenimento, cultura brasileira e aprendizado, pensado para crianças do ensino fundamental.;Education;;7
